AuditName,ServerName,FQDN
Ahold,DC-MAYON,ahold.stg.sql.ccaintranet.com
Amazon,DC-MAMMOTH,Amazon.stg.sql.ccaintranet.com
BestBuy,DC-WILMONT,BestBuy.etl.sql.ccaintranet.com
BestBuy Canada,DC-WILMONT,BestBuy.etl.sql.ccaintranet.com
CanadianTire,DC-STEEL,CanadianTire.stg.sql.ccaintranet.com
Delhaize,DC-MAYON,Delhaize.stg.sql.ccaintranet.com
GNC,DC-MAYON,Gnc.stg.sql.ccaintranet.com
HomeDepot,DC-WEST,HomeDepot.stg.sql.ccaintranet.com
JCP,DC-MAYON,Jcp.stg.sql.ccaintranet.com
Kroger,DC-OKEMO,kroger.stg.sql.ccaintranet.com
Loblaws,DC-FROSTFIRE,Loblaws.stg.sql.ccaintranet.com
Loblaws,DC-FROSTFIRE,Loblaws.stg.sql.ccaintranet.com
Lowes,DC-BROMLEY,Lowes.stg.sql.ccaintranet.com
PetSmart,DC-FUJI,petsmart.stg.sql.ccaintranet.com
PriceChopper,DC-MAYON,PriceChopper.stg.sql.ccaintranet.com
RiteAid,DC-FUJI,RiteAid.stg.sql.ccaintranet.com
Rona,DC-BROMLEY,Rona.stg.sql.ccaintranet.com
StaplesUS,DC-FROSTFIRE,staplesUS.stg.sql.ccaintranet.com
SuperValu,DC-FUJI,supervalu.stg.sql.ccaintranet.com
VitaminShoppe,DC-BROMLEY,VitaminShoppe.stg.sql.ccaintranet.com
Wakefern,DC-FUJI,Wakefern.stg.sql.ccaintranet.com
Walgreens,DC-LOGAN,Walgreens.stg.sql.ccaintranet.com
Walmart,DC-WHISTLER,Walmart.stg.sql.ccaintranet.com
WalmartMX,DC-WHISTLER,WalmartMX.stg.sql.ccaintranet.com
Ingles,DC-FROSTFIRE,ingles.stg.sql.ccaintranet.com
GiantEagle,DC-FROSTFIRE,gianteagle.stg.sql.ccaintranet.com
DSG,DC-STEEL,dsg.stg.sql.ccaintranet.com
CVS,DC-FROSTFIRE,cvs.stg.sql.ccaintranet.com
ShoppersDrug,DC-FROSTFIRE,shoppersdrug.stg.sql.ccaintranet.com
Overwaitea,DC-BROMLEY,Overwaitea.stg.sql.ccaintranet.com
Meijer,DC-WARD,meijer.etl.sql.ccaintranet.com
Target,DC-WARD,target.stg.sql.ccaintranet.com
AutoZoneMX,DC-WHISTLER,AutoZoneMx.stg.sql.ccaintranet.com
